Title,Description,Keywords,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la ley es desconocida &#44; no se puede caminar en un autobús de larga distancia,law does n&amp;apos;t know them &#44; walking in coach bus not permitted,1-0 4-5 5-10 8-6 9-7 11-9 14-11,1-0 2-1 2-2 3-2 3-3 3-4 4-5 8-6 9-7 10-8 11-9 5-10 6-11 7-11 14-11,0 12 13,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",otros fuentes dicen que gracias a este dinero la refinanciación está garantizada hasta el fin de 2009 .,other sources say that &#44; thanks to the credits &#44; refinancing is covered until late 2009 .,0-0 1-1 2-2 3-3 4-5 5-6 9-10 10-11 12-13 16-15 17-16,0-0 1-1 2-2 3-3 4-5 5-6 6-7 9-10 11-10 10-11 9-12 12-13 12-14 13-14 14-14 16-15 17-16,7 8 15,4 8 9
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",este servicio podría ser por sí solo un argumento de peso para adquirir un móvil para música .,this service by itself could be a substantial reason for obtaining a music cell phone .,0-0 1-1 2-4 3-5 4-2 5-3 7-6 8-8 10-7 11-9 12-10 13-11 14-14 16-12 17-15,0-0 1-1 4-2 5-3 6-3 2-4 3-5 7-6 10-7 8-8 11-9 12-10 13-11 16-12 14-13 14-14 15-14 17-15,9,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",lazo entre política y &amp;apos; ndrangheta &#44; ha sido arrestado el alcalde de gioia tauro,ties between politics and ‘ ndrangheta arrested the mayor of gioia tauro,1-1 2-2 3-3 5-5 9-6 10-7 11-8 12-9 13-10 14-11,0-0 1-1 2-2 3-3 5-4 4-5 5-5 7-5 8-5 9-6 10-7 11-8 12-9 13-10 14-11,6,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",eso tienen que esperar los accionistas y los acreedores del banco .,on behalf of the bank &amp;apos;s shareholders and creditors &#44; it is to be hoped they are right .,0-10 2-12 3-14 5-6 6-7 8-8 9-2 10-4 11-18,9-0 8-1 9-2 9-3 10-4 4-5 4-6 5-6 6-7 7-8 8-8 0-10 0-11 1-11 2-12 3-13 3-14 11-18,,9 15 16 17
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",según la acusación &#44; la mayoría de las facturas eran falsas .,most of the invoices were false according to the indictment .,0-6 1-8 2-9 5-0 6-1 7-2 8-3 9-4 10-5 11-10,4-0 5-0 6-1 7-2 8-3 9-4 10-5 0-6 0-7 1-8 2-9 11-10,3,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la ley &#44; sin embargo &#44; sufrirá una serie de cambios .,however &#44; the bill will still go through a series of changes .,0-2 1-3 4-0 5-1 6-4 7-8 8-9 9-10 10-11 11-12,3-0 4-0 5-1 0-2 1-3 6-4 6-5 6-6 6-7 7-8 8-9 9-10 10-11 11-12,2,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",las tasas de interés de hong kong están al mismo nivel como las de los estados unidos .,hong kong has interest rates at the same level as the united states .,1-4 3-3 5-1 6-0 8-6 9-7 10-8 11-9 15-12 16-11 17-13,6-0 5-1 3-3 0-4 1-4 7-5 8-5 8-6 9-7 10-8 11-9 12-10 16-11 14-12 15-12 17-13,2 4 13,2
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",&amp;quot; el senador obama no parece comprender que … &amp;quot; acusó en varias veces .,&amp;quot; senator obama does not seem to understand that ... &amp;quot; he accused several times .,0-0 2-1 3-2 4-4 5-5 6-7 7-8 8-9 9-10 10-12 12-13 13-14 14-15,0-0 1-1 2-1 3-2 4-3 4-4 5-5 5-6 6-7 7-8 8-9 9-10 10-11 10-12 12-13 13-14 14-15,11,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la opinión pública espera casi que abiertamente el día en que el google muestre su verdadera cara .,general public is looking forward to seeing what is still hidden by google .,2-1 3-3 5-7 9-11 12-12 17-13,0-0 1-0 1-1 2-1 3-3 3-4 10-5 5-7 9-11 8-12 12-12 13-12 14-12 15-12 16-12 17-13,4 6 7 11,2 6 8 9 10
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",los autores de los arreglos del himno son otakar jeremiáš y jaroslav krček .,the authors of the arrangements of the anthem are otakar jeremiáš and jaroslav krček .,0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14,0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",lo atestigua la información pública accesible en las páginas web de la čtú .,information publicly available from the czech telecommunication office &amp;apos;s web pages attests to this .,3-0 4-1 5-2 8-10 9-9 12-6 13-14,3-0 4-1 5-2 6-3 7-4 12-5 12-6 12-7 10-8 11-8 9-9 8-10 0-11 1-12 2-13 13-14,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",el obispo anglicano tom wright celebró el resultado de la investigación .,anglican bishop tom wright welcomed the findings of the research .,1-1 2-0 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10,2-0 0-1 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",lo que ballmer ha dicho esta semana es la confirmación de esta idea .,what ballmer said this week confirms this idea .,0-0 2-1 4-2 5-3 6-4 9-5 11-6 12-7 13-8,0-0 1-0 2-1 3-2 4-2 5-3 6-4 8-4 9-5 11-6 12-7 13-8,7 10,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",solamente el 13 % de los periodistas trabajan con un contrato .,only 13 % of journalists have a work contract .,0-0 2-1 3-2 4-3 6-4 7-7 8-5 9-6 10-8 11-9,0-0 2-1 1-2 3-2 4-3 5-4 6-4 8-5 9-6 7-7 10-8 11-9,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",&amp;quot; no tenemos azafatas &#44; estamos en contra de ellas desde el principio .,&amp;quot; we do n&amp;apos;t have stewardesses &#44; we &amp;apos;ve been against it from the very beginning .,0-0 2-4 3-5 4-6 5-7 7-10 10-12 11-13 12-15 13-16,0-0 2-1 1-2 1-3 2-4 3-5 4-6 5-7 5-9 6-10 7-10 9-11 10-12 11-13 12-15 13-16,8,8 14
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",añadió : &amp;quot; algunas personas no les gustó eso . &amp;quot;,she added : &amp;quot; some people did n&amp;apos;t like that . &amp;quot;,0-1 1-2 2-3 3-4 4-5 8-9 9-10 10-11,0-0 0-1 1-2 2-3 3-4 4-5 5-6 5-7 6-8 7-8 8-9 9-10 10-11,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",trató de jugar al máximo en el primer tiempo &#44; anotó guido carbonneau .,&amp;quot; he tried to do too much in the first period &#44; guy carbonneau noted .,0-2 5-7 6-8 7-9 8-10 9-11 12-13 13-15,0-2 1-3 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-13 12-14 13-15,2 3,0 1 4 5
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",desde su creación &#44; el 28 de septiembre de 1998 &#44; héma-québec aplicó el principio de precaución .,from its inception on the 28 september 1998 &#44; héma-québec has applied the precautionary principle .,0-0 1-1 2-2 4-4 5-5 7-6 9-7 10-8 11-9 12-11 13-12 14-14 16-13 17-15,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 9-7 10-8 11-9 12-10 12-11 13-12 16-13 14-14 17-15,8 15,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",no desaprovechó la ocasión para calificar de obsoletos los conceptos económicos de mccain .,he did not miss the chance to describe mccain &amp;apos;s economic concepts as outdated .,0-2 1-3 2-4 3-5 4-6 5-7 7-13 9-11 10-10 12-8 13-14,1-0 1-1 0-2 1-3 2-4 3-5 4-6 5-7 12-8 11-9 10-10 9-11 7-13 13-14,6 8,12
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",con ello &#44; el conductor controla la validez del bono .,this is how the driver checks the validity of the coupons recorded .,1-1 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-12,0-0 1-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 8-9 9-10 9-11 10-12,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",y la reproducción de música es uno de los mayores tragones de energía .,and playing music is one of the biggest energy guzzlers .,0-0 4-2 5-3 6-4 7-5 8-6 9-7 10-9 12-8 13-10,0-0 2-1 4-2 5-3 6-4 7-5 8-6 9-7 12-8 10-9 13-10,1 3 11,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",nadie tenía miedo de hacer el ridículo ni de exagerar .,no one was afraid of result ridiculous or exaggerate .,0-0 1-2 2-3 3-4 6-6 7-7 9-8 10-9,0-0 0-1 1-2 2-3 3-4 4-5 6-6 7-7 9-8 10-9,5 8,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",con muchísimo ruido &#44; dice marco guarda &#44; lo que no es nada para los italianos .,and very loudly &#44; too &#44; says marco guarda - too loudly for italians .,4-6 6-8 13-12 15-13 16-14,0-0 1-1 2-2 3-5 4-6 5-7 6-8 8-8 7-9 8-10 12-11 13-12 14-13 15-13 16-14,9 10 11,3 4
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",después de la rápida caída de la mañana &#44; la bolsa de praga corrigió sus pérdidas .,after a sharp drop in the morning &#44; the prague stock market corrected its losses .,0-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-10 12-9 13-12 14-13 15-14 16-15,0-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 12-9 10-10 10-11 13-12 14-13 15-14 16-15,1 11,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",antes de despegar hacia los estados unidos &#44; nicolas sarkozy dará un rodeo por la bretaña .,before leaving for the united states &#44; nicolas sarkozy is going to make a trip to brittany .,0-0 4-3 5-5 6-4 7-6 8-7 9-8 11-13 12-14 13-15 15-16 16-17,0-0 2-1 1-2 3-2 4-3 6-4 5-5 7-6 8-7 10-7 9-8 10-12 11-13 12-14 13-15 14-16 15-16 16-17,,9 10 11
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",el primer operador virtual ya va a llegar &#44; este año &#44; a la república checa .,first virtual operator to arrive in czechia this year .,1-0 2-2 3-1 6-3 7-4 9-7 10-8 12-5 15-6 16-9,1-0 3-1 2-2 6-3 7-4 12-5 13-6 14-6 15-6 9-7 10-8 16-9,0 4 5 8 11,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",lo confirma incluso el periodista austriaco gustav chalupa &#44; nacido en české budějovice .,the famous journalist gustav chalupa &#44; born in české budějovice &#44; also confirms this .,1-12 3-0 4-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 13-14,3-0 4-2 5-3 6-3 7-4 8-5 9-6 10-7 11-8 12-9 2-11 1-12 12-13 13-14,0,1 10
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",los observadores rusos al contrario del político de la oposición calificaron de democráticas a las elecciones .,russian observers described the elections as democratic &#44; in contradiction to the opposition politician .,1-1 2-0 6-13 9-12 10-2 12-6 14-3 15-4 16-14,2-0 0-1 1-1 10-2 14-3 15-4 13-5 12-6 11-8 4-9 7-10 8-11 9-12 6-13 16-14,3 5,7
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la doctora décary recuerda no obstante en que &amp;quot; la confianza es algo extremadamente frágil &amp;quot; .,dr. décary &#44; nonetheless &#44; thinks &amp;quot; confidence is something extremely fragile &amp;quot; .,2-1 5-3 8-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13,0-0 1-0 1-1 2-1 3-1 4-3 5-3 6-3 7-4 7-5 8-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13,9,2
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",&amp;quot; ahora se abre una nueva temporada de responsabilidad y de transparencia .,&amp;quot; now a new season of responsibility and transparency opens .,0-0 1-1 3-9 4-2 5-3 6-4 7-5 8-6 9-7 11-8 12-10,0-0 1-1 2-1 4-2 5-3 6-4 7-5 8-6 9-7 11-8 3-9 12-10,10,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",el problema para los periodistas estadounidenses es el dinero &#44; the money .,the problem for american journalists is the money &#44; the money .,0-0 1-1 2-2 4-4 5-3 6-5 7-6 8-7 9-8 10-9 11-10 12-11,0-0 1-1 2-2 5-3 3-4 4-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",pero no la que consiste en sacar provecho de los contribuyentes &amp;quot; .,but not ones that take advantage of taxpayers &amp;quot; .,0-0 1-1 3-3 4-2 6-4 7-5 8-6 10-7 11-8 12-9,0-0 1-1 4-2 3-3 6-4 7-5 8-6 9-7 10-7 11-8 12-9,2 5,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",detenida la actriz heather locklear por conducir bajo los efectos de algún medicamento,the actress heather locklear arrested for driving while addicted with drugs,1-0 2-1 3-2 4-3 5-5 6-6,1-0 2-1 3-2 4-3 3-4 5-5 6-6 7-9 12-10,0 8 9 10 11,7 8
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la &amp;quot; presión económica &amp;quot; que los periodistas advierten ha aumentado hasta un 79 % .,the &amp;quot; economic pressure &amp;quot; that journalists have felt has increased up to 79 % .,0-0 1-1 2-3 3-2 4-4 5-5 7-6 8-8 9-9 10-10 11-11 13-13 14-14 15-15,0-0 1-1 3-2 2-3 4-4 5-5 6-6 7-6 8-7 8-8 9-9 10-10 11-11 11-12 13-13 12-14 14-14 15-15,,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",tras el divorcio en 1980 &#44; trerise regresó a vivir en cornwall .,trerise and his wife divorced in the 1980s &#44; and he returned to live in cornwall .,4-7 5-8 6-0 7-11 8-12 9-13 10-14 11-15 12-16,6-0 6-1 6-2 6-3 6-4 0-5 1-6 4-7 5-8 6-9 7-10 7-11 8-12 9-13 10-14 11-15 12-16,2 3,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",normalmente sólo algunos elegidos consiguen la lista de precios de estas empresas .,the price lists of these companies usually only reach selected individuals .,0-6 1-7 3-9 5-0 6-2 8-1 9-3 10-4 11-5 12-11,5-0 8-1 6-2 9-3 10-4 11-5 0-6 1-7 4-8 3-9 4-9 2-10 12-11,7,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",¿ el año próximo ya no se necesitará visado para ir a los estados unidos ?,no visa needed to the us from next year ?,2-8 3-7 5-0 7-2 8-1 12-4 14-5 15-9,4-0 5-0 8-1 9-1 10-1 7-2 11-3 12-4 13-5 14-5 1-7 3-7 2-8 15-9,0 6,6
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",y en un charco de sangre está la palabra &amp;quot; pagas &amp;quot; .,and then the words &amp;quot; you pay &amp;quot; are in a pool of blood .,0-0 1-9 2-10 3-11 4-12 5-13 6-8 7-2 8-3 9-4 10-6 11-7 12-14,0-0 7-2 8-3 9-4 10-5 10-6 11-7 6-8 1-9 2-10 3-11 4-12 5-13 12-14,,1
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",el mercado de los alquileres para los universitarios no conoce la crisis .,the rent market for university students does not know crises .,0-0 1-2 4-1 5-3 7-4 8-7 9-8 11-9 12-10,0-0 4-1 1-2 2-3 5-3 7-4 6-5 7-5 8-6 8-7 9-8 11-9 12-10,3 10,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",la acción más cara en la historia checa dirigida a la seguridad en las carreteras .,the most expensive action aimed at safety on the roads in czech history .,0-0 1-3 2-1 3-2 4-10 6-12 7-11 8-4 11-6 12-7 13-8 14-9 15-13,0-0 2-1 3-2 1-3 8-4 8-5 9-5 11-6 12-7 13-8 14-9 4-10 7-11 6-12 15-13,5 10,
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",cornelius es hermano de martin jol &#44; el entrenador principal de hamburgo .,cornelius is the brother of hamburg &amp;apos;s coach-in-chief &#44; martin jol .,0-0 1-1 2-3 4-9 5-10 6-8 11-5 12-11,0-0 1-1 2-3 3-4 10-4 11-5 7-6 10-6 8-7 9-7 6-8 4-9 5-10 12-11,,2
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",lucha a mano armada : el reproductor de mp3 contra el móvil .,razor &amp;apos;s edge battle : mp3 players vs. cell phones .,0-3 4-4 8-5 12-10,2-0 0-3 4-4 5-5 6-5 8-5 8-6 8-7 9-7 7-8 6-9 11-9 12-10,1 3 10,1 2
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",precisamente lo consideramos como la mayor aportación desde el punto de vista de los clientes .,from the perspective of the customers &#44; we consider this to be the most beneficial .,2-8 3-11 4-12 5-13 6-14 7-0 8-1 11-2 12-3 13-4 14-5 15-15,7-0 8-1 9-2 11-2 12-3 13-4 14-5 0-7 1-7 2-7 2-8 3-11 4-12 5-13 6-14 15-15,10,6 9 10
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",su carga &#44; más de dos toneladas de hachís &#44; no era como para detenerse .,their cargo &#44; more than two tons of hashish &#44; is a good reason for not stopping .,0-0 1-1 2-2 3-3 5-5 6-6 7-7 8-8 9-9 10-15 11-10 12-11 13-14 14-16 15-17,0-0 1-1 2-2 3-3 3-4 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-14 10-15 14-16 15-17,,12 13
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",werner faymann &#44; el presidente del spö &#44; confirmó que desea negociar con el övp .,spö chairman werner faymann confirmed his willingness to negotiate with övp .,0-2 1-3 8-4 11-8 12-9 14-10 15-11,1-0 1-1 0-2 1-3 2-3 7-3 8-4 6-5 9-7 10-7 11-8 12-9 13-10 14-10 15-11,3 4 5,6
Spanish-English Word Alignment,"align the corresponding words across two sentences, one English and one Spanish, that have the same meaning","English, Spanish, language, research, text, word, alignment, crossword",con esta posibilidad nos hemos encontrado repetidamente con todos los operadores checos de telefonía móvil .,we have held repeated negotiations on this possibility with all czech mobile operators .,0-5 1-6 2-7 4-1 6-3 7-8 8-9 10-12 11-10 14-11 15-13,3-0 4-0 4-1 6-2 5-3 6-3 6-4 0-5 1-6 2-7 7-8 8-9 11-10 13-11 14-11 9-12 10-12 15-13,12,
