Title,Description,Keywords,SENTENCE1,QUESTION1,SENTENCE2,QUESTION2,SENTENCE3,QUESTION3,SENTENCE4,QUESTION4,SENTENCE5,QUESTION5,SENTENCE6,QUESTION6,SENTENCE7,QUESTION7,SENTENCE8,QUESTION8,SENTENCE9,QUESTION9,SENTENCE10,QUESTION10,SENTENCE11,QUESTION11,SENTENCE12,QUESTION12,SENTENCE13,QUESTION13,SENTENCE14,QUESTION14,SENTENCE15,QUESTION15
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","They took the pearl home and saved it in a special box, so they could remember their day at the beach.",Why did Bob and Sally decide not to sell the pearl?,"Diggler became a prominent model and began appearing in pornographic films , after Which his career took off .",Which career did Diggler go after and became famous in?,"They've presented LSC in Washington, D.C., with a proposal to centralize the services into one program, which the national office is expected to accept or reject next week.",What has Alabama Legal Services been trying to do?,"In contrast to him is Karthik ( also ( ( Dileep , a violent college student , who loves his classmate Priya ( ( ( Manya .",Which two women does Karthik love and/or own?,"Depending upon how many warrants and options are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated.",Heritage would issue how many preferred shares?,There is no summer and winter as we know them.,Do countries at the equator experience winter?,"It transpires that Rick , her boyfriend , gets involved in the cover up and goes to retrieve incriminatory evidence off the corpse , but is killed , replaced in Emser's grave .",Who gets killed while trying to help Mary Cover up the crime after strange occurrences started happening in her house,"Then I heard a pistol shot, followed by a hoarse cry.",What causes Mademoiselle to become upset?,"He first attempted to leave Yemen in 1995, when he applied for a U.S. visa.",What did Binalshibh do to escape Yemen when his U.S. visa was rejected?,"In fact, gravity can act over very long distances.",What factors affect gravity?,"The crash damages the fence of local Judge Evans , who sentences him to community service at a nearby hospital .",Where did Judge Evans live?,"Minamoto died in 1199, and the feudal structure passed intact to the tutelage of his widow’s family, the Hojo, who were content to play regent to a figurehead shogun, in much the same way as the Fujiwara had done with the emperor.",Who jointly held power in Japan after the rise of the Shoguns?,"Seven minutes later, Atta apparently took a call from Marwan al Shehhi, a longtime colleague who was at another terminal at Logan Airport.",With who and for how long was Mohamed Atta's last phone call?,The Air Force has been in control of air traffic operations since the military takeover of General Juan Carlos Ongan a in 1966 .,Which country's Air Force has been in control of air traffic operations since 1966?,A state foundation is giving West Texas Legal Services and the Fort Worth chapter of the NAACP more than $1 million to help provide civil legal services to the poor.,How much of the $1.03 million funding will the NAACP of Fort Worth get?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They build up in caves as water continues to drip.,What kind of deposits build up in caves as water continues to drip?,Many plants respond to the change in the length of the day.,What do some plants do when days grow shorter?,You are touching the book as it moves.,What do you and magnets have in common?,President Alvaro Colom announced the 30-day emergency rule in Alta Verapaz on Sunday.,What does the 30 day emergency rule allow the Guatemalan government to do?,She started to lose control of her scooter.,Did Michele lose control of her scooter?,Howland talked but little on their way back to camp.,Whose feelings of ambition were stirred by the previous scene? Give first and last name.,Casey Bowman is an American orphan who was adopted into a martial arts dojo in Japan .,What did Casey do to Musakuza and why?,"John and his wife Sara knew that their son loved clowns, as did their daughter Jane.",Who was at Mike's birthday party?,"El , a crew member , walks through the corridors of the ship when he discovers the eponymous magic portal , a rectangular arch flashing with various colors .",Which two characters have gone through a portal by themselves?,"For example, the mosses and ferns are both types of plants.",What do mosses make to reproduce?,"Valerie West, a manager/attorney with Mid-Penn Legal Services, with offices in Pottsville and Reading, regularly handles domestic violence cases.","How long does Valerie West suggest the custody order should last, and for whom does she work?",These roots branch out to the sides.,WHAT ARE TWO TYPES OF ROOTS?,This has been repressed in the last two seasons and to-day the morale of Base Ball is of a higher type than it ever has been in the history of the pastime.,What characteristics of the pastime of baseball has been repressed?,"Omphis(Indian name Ambhi Kumar), the ruler of Taxila, whose kingdom extended from the Indus to the Hydaspes (Jhelum), complied, but the chieftains of some hill clans, including the Aspasioi and Assakenoi sections of the Kambojas (known in Indian texts also as Ashvayanas and Ashvakayanas), refused to submit.",What ruler of Taxila complied and offered him what as a sign of his loyalty?,He was playing in the school yard at recess and a girl in his class was being mean to him.,How did people feel about Alexis's behavior?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",Her dangerous sexuality is the key.,"Could Madame White Snake live out a normal life with her mate, why or why not?","Nazi officers want to organize a football match for Hitler's birthday , in Which Germans would play against Hungarian prisoners of war .",When did the Germans organize a football match in honor of Hitler's birthday?,Stiles' former girlfriend said she is stunned by the allegations.,What does Deo Meo say?,They are on the end of the antenna.,Where are a snail's eyes located?,It takes a long time for a rock or mountain to weather.,Where does weathering act faster than it does on mountains?,Let's count as we make the sandwiches!,"How many sandwiches do Mom, Dad, and Sam need?",Fontaine was a teenager when she began her acting career as Joan Burfield in the 1935 film No More Ladies.,Joan de Beauvoir de Havilland went by which two stage names?,"After he ate, he and Jimmy went to the pond.",What is Jimmy's aunt's name?,"A videotape informs him that crushing his hands between the presses will release him ; he does so , but the blade still swings down and violently cuts him in half , while someone watches through a hole in the wall .","Murderer Seth Baxter awakes, tied to a table, does he escape?","In some areas, humans have cut down all the trees.",How does the cutting down of trees cause droughts?,"According to fossils, they once did.",What does the fact that fossils have been found on the top of Antarctica?,"Shelton wanted to demonstrate that the military was imaginative and knowledgeable enough to move on an array of options, and to show the complexity of the operations.",Who did General Shelton task with looking at the options against Bin Laden and what did he want to demonstrate?,He evidently bore Mr. Steadman no ill-will for his plain talk two weeks ago.,Where did Mr. Steadman go to get the paper?,Some animals may just drink the nectar.,Why is it risky for a flower to wait on an animal to come by?,When things are slippery there is less friction.,Do particles rubbed against a slippery surface move faster or slower?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","Though upset , Ben quickly makes friends with Mayor Nick Nicholson , the town cafe's proprietor\/head waitress , and Melvin , the local mechanic tasked with repairing Ben's car .",Was the Porsche damaged in the crash through the fence?,The fighting brought none of the usual spoils of war that provincial warlords and samurai had come to expect as payment.,There was a certain Mongol invasion which brought none of the usual spoils of war. What year was that invasion?,They spoke for three minutes.,How long was the phone call Between Atta and Marwan al Shehhi,"The preferred stock, which would have a dividend rate of $1.76 a year, would be convertible into Heritage common at a rate of four common shares for each preferred.",What does Heritage own and operate?,"Then I heard a pistol shot, followed by a hoarse cry.",About how long does it take for the person who left the room to be involved in a shooting?,The state is at the bottom of the nation in funding the services.,What is the problem with the ALSC?,"Panicked , she hits him with a golf club .",After the man attacks her what did Mary hit the man with?,It sounded like someone talking in a very low voice.,Where was the voice coming from?,It would have a lot of gravity.,How does mass affect the force exerted?,"Brushing aside many an insult hurled at him , he carries on .",Does Kunjan allow his handicap to hinder him?,"At the equator, the seasons never change.",Do countries at the equator experience winter?,"It is going to help us out tremendously with our program, said Kathy Duncan at West Texas Legal Services.",West Texas has how many branch offices?,The two men became close friends and became identified with their shared extremist outlook.,Binalshibh and Atta first became identified with their shared world outlook after meeting where?,The hits and publicity led to fame and money Which led Diggler to the world of drugs .,What addiction did Diggler and Rothchild share?,"For example , at one point he spills out a bag of plastic airplanes and equates it to the number of planes the air force has lost due to negligence .",Which director uses a bag of plastic airplanes to demonstrate the poor state of the Argentinian civil aviation industry?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","As this was happening, passenger Daniel Lewin, who was seated in the row just behind Atta and Omari, was stabbed by one of the hijackers-probably Satam al Suqami, who was seated directly behind Lewin.",Who was seated in the row behind two of the terrorists?,Weather occurs because of unequal heating of the atmosphere.,"If warm air rises, what is characteristic of cold air?","As a result of Einstein's letter and his meetings with Roosevelt, the U.S. entered the race to develop the bomb, drawing on its immense material, financial, and scientific resources to initiate the Manhattan Project.",Which US president did the Belgian Royal Family help Einstein contact?,"However , as he sees his surrogate father attacked , Jay immediately rushes to his aid , but during several clashes he has to find out that he and the ninja are evenly matched .",What was the profession of Jay's surrogate father?,Jake was walking to the park to play baseball with his friends.,Was Frank better than Jake even though he got better at playing baseball?,"In addition to having academic difficulties at this time, Shehhi appeared to become more extreme in the practice of his faith; for example, he specifically avoided restaurants that cooked with or served alcohol.",How did Marwan al Shehhi practice religion?,The state has been first to pass major public health initiatives that have spread throughout the country.,What was the first state to pass major public health initiatives?,It was thought to change because the Earth was rotating beneath it.,What was the result of the experiment?,"Alice 's father is employed as a clerk in a factory owned by Mr. Lamb , who has kept Adams on salary for years despite his lengthy illness .",Did Alice invite Russell to the Adams home for a fancy meal before or after Mr. Adams began his lengthy illness?,"As the environment changes, living creatures adapt.",What happens when some living organism do not adapt to changes in the environment?,That was more than 40 years ago.,Was the author a cattle herder?,The answers are important enough that they will be a discussion topic of this year's Senior Day at 9 a.m.,When are they having Senior day In Oklahoma?,"After a number of provocations , Ludo beats Ralf in a restaurant , and angrily leaves Anna .",Why did Ludo and Anna hate each other?,"In the year 1831, during the period of Pushkin's growing literary influence, he met one of Russia's other great early writers, Nikolai Gogol.",What relationship did Pushkin have with Nikolai Gogol?,"There was an angry scene between the two, and Edgar was told that he must leave the university and go into the counting-room.",Why did Edgar leave University?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",Her best friend Maddy was also a dancer; they often competed with each other to get the top parts in the dances.,Who was Eliza's friend from the ballet school and what did their mom's think?,Lightning is static electricity on a grand scale.,Why can't you run electricity off of lightning if it's static electricity?,"988 the Irish kings finally united under the king of Munster, Brian Ború, and in a great battle drove the Vikings north of the Liffey.",What became of the Vikings in Ireland after Brian Boru defeated them?,"At the White House, the video teleconference was conducted from the Situation Room by Richard Clarke, a special assistant to the president long involved in counterterrorism.","The teleconference in the Situation Room, determined its first topic would be what?","According to the radar reconstruction, American 77 reemerged as a primary target on Indianapolis Center radar scopes at 9:05, east of its last known position.",How long did American 77 stay on the Indianapolis Center Radar?,"They built towns, industries, roads, and bridges, developed agriculture, and bequeathed the Latin language, of which Portuguese is a direct descendant.","Who built towns, industries, roads, bridges, and developed agriculture to influence all of Iberia?",Richie scours the city to find the young wunderkind and then hilariously conspires with Kevin to get Harold a horn to play .,What did the appearance of Harold's uncle inspire Richie to do?,His body then turns chemical energy into motion.,Where does your body get the energy to work from?,He urged Musharraf to use his influence with the Taliban on Bin Ladin and al Qaeda.,When did Bush ask Musharraf to use his influence on the Taliban?,"In Connaught, where the Celtic genius may be supposed to have the freest opportunity for expressing itself, the towns are all exactly alike, and their resemblance consists in the absence of any beauty which can please the eye.",Why don't the Irish get credit for their domestic architecture?,"Ironically, as the handover approached, the British granted the Hong Kong Chinese more political autonomy than they had done since the colony was founded, including such democratic reforms as elections to the Legislative Council.",What year did the British hand over control of Hong Kong to the Chinese?,"Later that day , Aadhi is found missing .",What did the gang do to get revenge from Simon?,Schools were scarce between World War I and World War II.,What school was established after the World War I and World War II scarcity?,His birthday party was coming up and he hoped that his parents would finally get him the bike.,What did Tim want for a present and did he get it?,The recycled material can be made into t-shirts!,What new product can you buy that is made out of old recycled material?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","In 2001, county judges heard 98 Protection From Abuse cases, finding the defendant guilty in 48 percent of those cases, either after a hearing or through a technical violation or plea.",In what county were the statistics of 48% guilty and 27% dismissed or not guilty established?,"He was in charge--in charge of the greatest railroad building job on earth--_he_, Jack Howland, who less than twenty years ago was a barefooted, half-starved urchin peddling papers in the streets where he was now famous!",Who had an attempt made on his life?,In the earlier history of the sport there was a tendency to win by any means that did not actually cross the line of dishonesty.,What characteristics of the pastime of baseball has been repressed?,Shorter days signal the coming of winter.,What is it about winter that makes it difficult for plants to survive?,"A taproot system has a very long primary root, called a taproot.",WHAT ARE THE TWO DIFFERENT TYPES OF ROOT SYSTEMS?,"They are tracked down by Masazuka , who sends Temple's thugs to take down the couple .",Who did Musakuza send for the sensei?,"A considerable accession of power was granted him after the death of Philip, son of Machatas; and he was allowed to retain his authority at the death of Alexander himself (323 BC), as well as in the subsequent partition of the provinces at Triparadisus, 321 BC.",Which chieftain came to Alexander and submitted to his authority?,"Government data shows cells of the drug gang known as Los Zetas are in the area to protect drug trafficking paths between Honduras and Mexico, intimidating the population with their heavy weapons and threatening farmers to give up their land for criminal activities, AGN reported.",Which drug gang is active in Guatemala for which emergency has been declared?,"The four escape the liquid paper daleks , Which are scared off by the two-headed monster that El had an encounter with earlier , in a shoe car .",Why did El's car break apart so easily?,"Unlike you, magnets do not need to touch the other object.",What movement does magnetic force cause?,"Mountain streams erode narrow, V-shaped valleys and waterfalls.",Do mountain streams create broad floodplains and meanders?,"All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy.",What did a stranger offer Derek?,"He directed McLaughlin, Wolfowitz, and Joint Chiefs Vice Chairman Richard Myers to deploy Predators capable of being armed no later than September 1.",What kind of time frame did Hadley set for the preparation of the armed missile?,These chemical signals are called hormones.,Which system sends a chemical signal?,He really wanted pizza so they called up Pizza Palace to place their order.,Who chose pizza for the dinner?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","But over time, characterizations of her became more complex, and the persona of Madame White Snake became more sympathetic, and perhaps even a model of the ideal Confucian wife, particularly in “Pagoda”.",What notes did Whalen Lai say about Madame White Snake?,"He finds a hidden passage with a tape recorder that warns him to stay in the sickroom , but ignores it .",What happened to Peter Strahm who was confined in a sick room after he ignored the warning in the tape recorder?,Reluctantly he went to the printing office and made known his errand.,Did it seem that Mr. Driggs responded negatively to Mr. Steadman's errand?,Did you notice the long antennas on its head?,Where are the snails eyes?,Military planners did not include contingency planning for an invasion of Afghanistan.,What new concept did CENTCOM add and what plan did the military planners not include?,They are soon recaptured and told they will now face probable death penalty .,Why did the Hungarian football team face a death penalty?,Crops and livestock may die.,How do trees impact rainfall?,"There are three of us, so we need three sandwiches.",What was Sam going to bring to the beach?,Joey and Jimmy got out of the water and started walking home.,"On the way to the pond, who did Joey and Jimmy meet?",Only certain animals were able to get at the plants hidden nectar.,What is the purpose of hidden nectar?,Weathering breaks down rocks into smaller pieces.,What's the process by which soil is produced?,"Oscar-winning actress Joan Fontaine died Sunday, her longtime friend Noel Beutel said Monday.",How old was Joan Fontaine when she died?,"Chester Arthur Stiles, 37, of Nevada is being sought as a suspect in the videotaped rape of a 3-year-old girl.",Where in Las Vegas? What was he a suspect for. How old was the little girl and when was she found?,"In fact, the entire Himalaya mountain range was raised.",How were the Himalayas uplifted?,Oil coats the surfaces of moving parts.,How does oil reduce friction between moving car parts?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",The poet's body was taken secretly at midnight and buried on his mother's estate.,How was Pushkin's funeral influenced by the Tsarist administration?,"Alice 's father is employed as a clerk in a factory owned by Mr. Lamb , who has kept Adams on salary for years despite his lengthy illness .",Who continues to pay the invalid Mr. Adams a salary despite his failure to work for a long period due to illness?,The general principles behind weather can be stated simply: The Sun heats Earths surface more in some places than others.,How is the sun involved in the creation of weather?,"When they start hunting him down , Jin Wu and his wife Akane sail to China both to escape their wrathful kinsmen , and for Jin Wu to complete revenge by finding the last man he holds responsible for his father's death .",Why did Jin Wu and his wife sail to China?,Earth processes have not changed over time.,In what way is the Earth the same as the past?,"The hijackers quickly gained control and sprayed Mace, pepper spray, or some other irritant in the first-class cabin, in order to force the passengers and flight attendants toward the rear of the plane.",Who claimed they had a bomb?,"After graduating from high school in 1995, Shehhi joined the Emirati military and received half a year of basic training before gaining admission to a military scholarship program that would fund his continued study in Germany.",Who were Atta and Binalshibh?,The state has been first to pass major public health initiatives that have spread throughout the country.,What state became the first to pass major public health initiatives?,"When Ludo runs into his former lover Marie in the disco , and Anna's old boyfriend Ralf comes to stay in their flat for a few days , the young couple faces serious jealousy and doubt in their relationship .",What does Anna do as a result of her jealousy?,He knew he would jump up and down.,What would Jake's grandfather do when he watched him play?,"He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own nuclear weapons research.","Who was asked to send a letter to President Roosevelt, recommending the U.S. pay attention and engage in its own nuclear weapons research?","He did not understand the boy's peculiar and erratic nature, and was particularly displeased when he found that Edgar had run into debt at college.",Describe a scene that illustrates the differences Poe's parents had in their affection for him.,It was the Sun and the stars that orbited the Earth.,How were Earth bound observations used?,They are not to be used to help a family manage their mother or help a doctor or nursing home get permission for a pill or procedure they feel is in the best interest of a patient.,What should not to be used to help a doctor or nursing home get permission for a pill or procedure?,"As a result, families wanted to educate their sons, who became village role models.",What is changing in Matau for women?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",A magnetic force does not require objects to touch.,Do magnets need to be touching to create force?,"Anticipating an invasion by Masazuka , the sensei assigns Casey and Namiko to guard an old chest called the Yoroi Bitsu , Which contains the suit and weapons of an ancient ninja .",Why did Casey take the Yoroi Bitsu to New York?,"The state of siege also allows the government to place greater restrictions on public gatherings, travel visas and gun licenses, among other things, according to AGN.",What does the 30 day emergency rule allow the Guatemalan government to do?,"It needed to be designed to explode in a different way, and even then had to be targeted with extreme precision.",What kind of work did the Hellfire Warhead carried by The Predator need?,"In the winter of 327/326 BC, Alexander personally led a campaign against these clans; the Aspasioi of Kunar valleys, the Guraeans of the Guraeus valley, and the Assakenoi of the Swat and Buner valleys.",What injuries did Alexander experience at the battles Aspasioi and Assakenoi?,"He was in charge--in charge of the greatest railroad building job on earth--_he_, Jack Howland, who less than twenty years ago was a barefooted, half-starved urchin peddling papers in the streets where he was now famous!",Whose feelings of ambition were stirred by the previous scene? Give first and last name.,"In 2001, county judges heard 98 Protection From Abuse cases, finding the defendant guilty in 48 percent of those cases, either after a hearing or through a technical violation or plea.",Will everyone have to pay a fine for beating a woman or a dog in Schuylkill County?,"In the blink of an eye, she shifted her weight.",Did Michele lose control of her scooter?,Her name was Sandy.,How did Sandy feel about Derek?,"El finds another portal , and nearly gets eaten by the monster , who ends up in the real world while chasing a leftover tyre from the devoured car and attacks Lindsay Fleay .",Who built the car that had its tyre fly off and leads the two-headed monster into the real world?,Experience of more than a quarter of a century has most abundantly proved that the standard of Base Ball has steadily been elevated.,Is any argument required to prove that the standard of Base Ball has steadily been elevated?,These roots branch out to the sides.,What is the difference between primary and secondary roots?,They build up in caves as water continues to drip.,Where do stalactites and stalagmites occur?,The clown started the show by squirting some water from a flower into John's face.,Whose face did the clown turn red?,It allows them to survive the cold and dry winter.,Why do some plants go dormant in winter?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",On their way there they saw their friend Jack Rabbit.,What happened before Joey went swimming in Aunt Julie's pond.,"To reduce friction, oil is added to the engine.",What can be done to prevent friction problems in engines?,Ocean animals have been found on the Earths tallest mountain.,Where is an unexpected location fossils have been found?,"He briefed Berger on the Infinite Resolve strike options developed since 1998, which the Joint Staff and CENTCOM had refined during the summer into a list of 13 possibilities or combinations.",How did Ambassador Bodine in Yemen and CIA analysts react to the Cole attack?,She later adopted the stage name Fontaine -- the name of her mother's second husband.,Joan de Beauvoir de Havilland went by which two stage names?,They may have started as part of a mountain and then broken up.,Name two places where sediment can come from?,De Meo addressed Stiles directly: Turn yourself in to your local law enforcement agency.,Was the girl found? What’s did her mother say?,"But over time, characterizations of her became more complex, and the persona of Madame White Snake became more sympathetic, and perhaps even a model of the ideal Confucian wife, particularly in “Pagoda”.",Who took on the virtues of a traditional Chinese female over time in Asia?,Spring 1944 .,When did the Germans organize a football match in honor of Hitler's birthday?,"Mom asked Sam if he would like to help make sandwiches for the trip, and Sam said that he wanted to help.","How many sandwiches do Mom, Dad, and Sam need?",The wind could even blow the pollen over the ocean where it is wasted.,Why is it risky for a plant to hope the wind will blow?,"He is attacked by a pig-masked figure in the passage and awakens with his head sealed in a box slowly filling with water , Which he survives by performing a tracheotomy using a pen .","After Agent Strahm kills Jeff Denlon, how does he finally escape?","Mr. Steadman remarked carelessly that there was an editorial in it to which his attention had been drawn, on hearing which Mr. Driggs turned his head and winked at an imaginary accomplice.",What is the name of the character who needed the copy of the paper?,"Last year, I rented a small house on Vega IV, a sea world, all islands and reefs and archipelagos, turquoise waters and aquamarine skies, sunrises like symphonies and sunsets like stars gone supernova.",Who rented a small house on Vega IV?,Trees add a lot of water vapor to the air.,How does the cutting down of trees cause droughts?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","The leaders of African countries have made education more of a priority, even for girls.",What changes have come about for girls in Matau?,"Marwan al Shehhi was born on May 9, 1978, in Ras al Khaimah, the United Arab Emirates.",With whom did Marwan al Shehhi live during his college years?,"Abu-Jamal, a onetime radio reporter and cabdriver, has been a divisive figure, with many prominent supporters arguing that racism pervaded his trial.",Why did people think racism pervaded the trial?,"There was an angry scene between the two, and Edgar was told that he must leave the university and go into the counting-room.",What did Poe do before becoming a poet?,But even the best care is worthless if an older patient can't drive to the doctor for ongoing treatment because his or her car has been wrongfully seized in a debt dispute.,What is one of the main reasons Oklahomans need lawyers?,They become extinct.,What two things can happen to living organisms when the environment changes?,"He loved spending time with him when he was younger, but he had moved last year.",Why does Jake only see his grandfather in the summer now?,"When they start hunting him down , Jin Wu and his wife Akane sail to China both to escape their wrathful kinsmen , and for Jin Wu to complete revenge by finding the last man he holds responsible for his father's death .",How did Jin and Foo end up in China?,"The Golden State was first to ban smoking in workplaces, bars and restaurants in 1998.",What rules exist throughout the country because of a California ban?,It was thought to change because the Earth was rotating beneath it.,Why did the pendulum change its direction?,"Even though the two still strongly care for each other , they end up sleeping with their respective ex-lovers .",Does Ludo confess his indiscretions to Anna following her confession?,"As this was happening, passenger Daniel Lewin, who was seated in the row just behind Atta and Omari, was stabbed by one of the hijackers-probably Satam al Suqami, who was seated directly behind Lewin.",How many hijackers have been named?,"She and her mother put on airs , the entire family dresses inappropriately in formal wear despite the hot summer night , and the Adams pretend that they eat caviar and fancy , rich-tasting food all the time .",Why do Alice and her family wear fancy clothes and serve expensive food at the dinner for Mr. Russell despite their poverty?,"Shot in the right lower abdomen, Pushkin died two days later.",Was was the reason for Pushkin's death?,The rising air cools as it goes higher in the atmosphere.,What happens when that air cools and is moist?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English","If you dont already recycle, start today.",How can you help promote recycling?,Harold's mean uncle yanks him away from an impromptu jam session before Richie can get his name or address .,How does Richie find Harold after their jam session?,The motion of the guitar players hands is a form of mechanical energy.,List two forms of energy,The FAA and CIA joined at 9:40.,How many minutes had elapsed before the FAA joined the video teleconference call conducted by Richard Clarke?,Simon now faces murder charges and is suspended from duty .,Who is Antony Simon?,"He could not however, gain permission to publish it until five years later.",What year did Pushkin publish his most famous play?,In the ninth century they built a fort on the Liffey and founded Ireland’s first town — Dubh Linn or “Black Pool.” The remains of Viking fortifications can be seen today beneath Dublin Castle.,"After building a fort on the Liffey River, what did the Vikings introduce to Ireland?","711, the Moors brought powerful armies from North Africa and launched a devastating attack on the Iberian peninsula, conquering much of what would become Spain and Portugal.",What did the Moors do in 1711?,A dancer named Eliza was part of the New York Ballet Performance and Arts Company.,Who was Eliza's best friend?,The third present was the biggest one.,Which present that Tim opened was the biggest and was the bike in there?,"For its part, Pakistan had done little.","By August 4th, what had Pakistan done to combat terrorism?","What controls heartbeats in Hong Kong are the fluctuations of the Hang Seng Index, foreign currency exchange rates, and skyrocketing property prices.",What controls the political attitudes in Hong Kong and what is the approach?,Schools were scarce between World War I and World War II.,The scarcity of schools in Albania between World War I and World War II contributed to Albania's illiteracy rate getting as high as what percentage?,"The target remained in Indianapolis Center's airspace for another six minutes, then crossed into the western portion of Washington Center's airspace at 9:10.",At which times did all this take place,Have you ever felt a shock?,What might you feel if you walk across a carpet and then touch something metal?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",They do this by creating a force.,What force does a magnet produce?,The clown started the show by squirting some water from a flower into John's face.,Who caused John's face to turn red?,"He pictured the unfortunates back in the old room, breathing chalk dust, vexed with foolish problems, tormented by discipline.","Were the unfortunates, back in the old room and breathing chalk dust, hastening to a private school?",The film starts with a shot of a spaceship flying through space .,Who is in the spaceship?,He was determined on that.,Was Howland determined Like Thornton was?,"Omphis(Indian name Ambhi Kumar), the ruler of Taxila, whose kingdom extended from the Indus to the Hydaspes (Jhelum), complied, but the chieftains of some hill clans, including the Aspasioi and Assakenoi sections of the Kambojas (known in Indian texts also as Ashvayanas and Ashvakayanas), refused to submit.",Who invited the chieftains of the Gandhara satrapy to come to him and submit to his authority?,Derek ran into the classroom right after the girls.,Whom did Derek follow into the classroom screaming for help?,In the earlier history of the sport there was a tendency to win by any means that did not actually cross the line of dishonesty.,Has repression of the tendency to win by any means raised or lowered the morale of Base Ball?,"The occasionally chilly ocean is the Atlantic, but the Algarve has a sultry Mediterranean feel.",Which region of Portugal gets the most sunshine on an average year?,"Second, Tenet in particular questioned whether he, as Director of Central Intelligence, should operate an armed Predator.",What problems did the senior management of the CIA see with the armed predator?,"If you beat a dog in Schuylkill County, you'll probably get a $100 fine.",Will everyone have to pay a fine for beating a woman or a dog in Schuylkill County?,President Alvaro Colom announced the 30-day emergency rule in Alta Verapaz on Sunday.,A state of siege declaration lasts how many days?,"However , the dojo's top student Masazuka becomes bitter over Namiko's friendship with Casey until one morning , during a sparring match , he loses his temper and nearly kills Casey by throwing a katana at him .",What did Casey do to Musakuza and why?,Water flowing over Earths surface or underground causes erosion and deposition.,Which particles are deposited first when water flowing over Earth's surface begins to slow down?,"After the change in color, they fall off.",What are two ways we might suspect a tree has become dormant?
Answering English Questions Given Single Sentences,"Tell us whether the questions are answerable or not, given single sentences.","Question Answering, English",The fighting brought none of the usual spoils of war that provincial warlords and samurai had come to expect as payment.,What fighting failed to provide payment for provincial warlords and samurai?,It has a magnetic north pole.,What are the two north poles and are they in the same spot?,He wins over heart by helping her out .,Which orphaned blind girl does Kunjan fall in love with?,It causes an attraction between two masses.,What is gravity?,Greta ran to the corner with her older brother Tony.,Where was the ice cream truck that Greta ran to?,A state foundation is giving West Texas Legal Services and the Fort Worth chapter of the NAACP more than $1 million to help provide civil legal services to the poor.,How many cases did West Texas Legal Services clear last year?,"While his asylum petition was pending, Binalshibh lived in Hamburg and associated with individuals from several mosques there.","Under what name was Binalshibh living, during his first stay in Hamburg?","Congress' appropriation for LSC takes it from a budget of $329.3 million to $348.4 million, which will be divvied up nationwide.",What caused relief about the budget change for LSC?,"Alexander fled Macedon with his mother, dropping her off with her brother, King Alexander I of Epirus in Dodona, capital of the Molossians.",What was Alexander's relationship with the Illyrian King?,"Looking for a career as a male model , Diggler dropped out of school at age 16 and left home .",In Which year did Dirk Diggler drop out school?,"Some claim that the archipelago is what remains of Plato’s lost Atlantis, or part of a landmass that once fused the continents of Europe and America.",Which tropical island is claimed by some to be the remains of Plato’s lost Atlantis?,"At the equator, the seasons never change.",Where on earth is there no summer or winter?,"The crash damages the fence of local Judge Evans , who sentences him to community service at a nearby hospital .",What was the consequence of Ben talking back to the Judge?,"Later , hearing noises in the garage , she finds a bleeding man , mangled and impaled on her jeep's bumper .",What is the reason that Mary was impaled by an object?,Atta and Omari arrived in Boston at 6:45.,Who did Atta talk to in Boston and for how long?
